   0.0000000000e+00    0.0000000000e+00 0.0 2
   2.0000000000e-01   -5.0000000000e-01 0.0 3
   2.0000000000e-01   -3.0000000000e-01 0.0 10
   0.0000000000e+00    0.0000000000e+00 0.0 2

  -2.0000000000e-01   -3.0000000000e-01 0.0 8
  -1.0000000000e-01   -1.0000000000e-01 0.0 7
  -5.0000000000e-01    5.0000000000e-01 0.0 6
  -2.0000000000e-01   -3.0000000000e-01 0.0 8

  -1.0000000000e-01   -1.0000000000e-01 0.0 7
   0.0000000000e+00    0.0000000000e+00 0.0 2
  -5.0000000000e-01    5.0000000000e-01 0.0 6
  -1.0000000000e-01   -1.0000000000e-01 0.0 7

  -5.0000000000e-01   -5.0000000000e-01 0.0 0
  -2.0000000000e-01   -3.0000000000e-01 0.0 8
  -5.0000000000e-01    5.0000000000e-01 0.0 6
  -5.0000000000e-01   -5.0000000000e-01 0.0 0

  -5.0000000000e-01   -5.0000000000e-01 0.0 0
  -2.0000000000e-01   -5.0000000000e-01 0.0 1
  -2.0000000000e-01   -3.0000000000e-01 0.0 8
  -5.0000000000e-01   -5.0000000000e-01 0.0 0

  -1.0000000000e-01   -1.0000000000e-01 0.0 7
  -2.0000000000e-01   -5.0000000000e-01 0.0 1
   0.0000000000e+00    0.0000000000e+00 0.0 2
  -1.0000000000e-01   -1.0000000000e-01 0.0 7

   0.0000000000e+00    0.0000000000e+00 0.0 2
   1.0000000000e-01   -1.0000000000e-01 0.0 9
   5.0000000000e-01    5.0000000000e-01 0.0 5
   0.0000000000e+00    0.0000000000e+00 0.0 2

  -2.0000000000e-01   -3.0000000000e-01 0.0 8
  -2.0000000000e-01   -5.0000000000e-01 0.0 1
  -1.0000000000e-01   -1.0000000000e-01 0.0 7
  -2.0000000000e-01   -3.0000000000e-01 0.0 8

   2.0000000000e-01   -5.0000000000e-01 0.0 3
   5.0000000000e-01   -5.0000000000e-01 0.0 4
   2.0000000000e-01   -3.0000000000e-01 0.0 10
   2.0000000000e-01   -5.0000000000e-01 0.0 3

   2.0000000000e-01   -3.0000000000e-01 0.0 10
   5.0000000000e-01   -5.0000000000e-01 0.0 4
   5.0000000000e-01    5.0000000000e-01 0.0 5
   2.0000000000e-01   -3.0000000000e-01 0.0 10

   1.0000000000e-01   -1.0000000000e-01 0.0 9
   2.0000000000e-01   -3.0000000000e-01 0.0 10
   5.0000000000e-01    5.0000000000e-01 0.0 5
   1.0000000000e-01   -1.0000000000e-01 0.0 9

   1.0000000000e-01   -1.0000000000e-01 0.0 9
   0.0000000000e+00    0.0000000000e+00 0.0 2
   2.0000000000e-01   -3.0000000000e-01 0.0 10
   1.0000000000e-01   -1.0000000000e-01 0.0 9

   0.0000000000e+00    0.0000000000e+00 0.0 2
   5.0000000000e-01    5.0000000000e-01 0.0 5
  -5.0000000000e-01    5.0000000000e-01 0.0 6
   0.0000000000e+00    0.0000000000e+00 0.0 2

